X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,Y
10.01,-0.360121951,-0.645365854,B,27,3,0,-0.805853659,-3.640243902,-0.358658537,-7.809512195,-0.05097561,0.2156417,0.009202579,-7.009741341
10.19,-0.380121951,-0.465365854,B,27,5,0,-0.465853659,-2.930243902,2.321341463,-4.469512195,-0.05097561,0.2152994,0.008860279,8.890098659
10.34,-0.440121951,-0.315365854,B,27,7,0,-0.155853659,-2.320243902,9.591341463,-0.609512195,-0.05097561,0.2145657,0.008126579,-12.32834134
10.25,-0.430121951,-0.405365854,B,27,8,0,0.034146341,-1.960243902,10.67134146,0.940487805,-0.04097561,0.2141297,0.007690579,-5.528821341
10.17,-0.390121951,-0.485365854,B,27,9,0,0.244146341,-1.700243902,0.111341463,-1.089512195,-0.04097561,0.2136907,0.007251579,-9.550351341
10.01,-0.380121951,-0.645365854,B,27,11,0,0.694146341,-1.330243902,1.491341463,-2.499512195,-0.03097561,0.2128486,0.006409479,-2.165361341
10.03,-0.360121951,-0.625365854,B,27,12,0,0.914146341,-1.050243902,1.901341463,-0.009512195,-0.03097561,0.212376,0.005936879,-3.278691341
10.01,-0.340121951,-0.645365854,B,27,13,0,1.084146341,-0.770243902,2.191341463,-1.709512195,-0.03097561,0.2117269,0.005287779,0.632298659
10.16,-0.290121951,-0.495365854,B,27,14,0,1.194146341,-0.480243902,2.371341463,-0.879512195,-0.03097561,0.2109426,0.004503479,4.111408659
10.18,-0.270121951,-0.475365854,B,27,15,0,1.254146341,-0.240243902,5.901341463,4.740487805,-0.03097561,0.2101826,0.003743479,2.328478659
10.29,-0.220121951,-0.365365854,B,27,16,0,1.294146341,-0.090243902,5.871341463,7.520487805,-0.03097561,0.2094274,0.002988279,2.977058659
10.31,-0.250121951,-0.345365854,B,27,17,0,1.334146341,-0.030243902,9.251341463,4.080487805,-0.03097561,0.2086755,0.002236379,3.435808659
10.31,-0.200121951,-0.345365854,B,27,18,0,1.094146341,-0.420243902,7.761341463,-1.109512195,-0.03097561,0.2081381,0.001698979,6.289678659
10.39,-0.180121951,-0.265365854,B,27,19,0,0.854146341,-0.790243902,7.171341463,-4.269512195,-0.03097561,0.2075792,0.001140079,-1.472401341
10.47,-0.060121951,-0.185365854,B,27,20,0,0.684146341,-1.040243902,3.151341463,-3.339512195,-0.02097561,0.2072397,0.000800579,0.010868659
10.47,-0.040121951,-0.185365854,B,27,21,0,0.794146341,-0.880243902,0.601341463,-5.179512195,-0.02097561,0.2071967,0.000757579,1.335968659
10.49,-0.040121951,-0.165365854,B,27,22,0,0.904146341,-0.670243902,3.821341463,-2.499512195,-0.02097561,0.2073868,0.000947679,-0.198411341
10.44,-0.080121951,-0.215365854,B,27,23,0,1.004146341,-0.500243902,3.531341463,-4.769512195,-0.02097561,0.2077295,0.001290379,1.809288659
10.47,-0.080121951,-0.185365854,B,27,24,0,1.074146341,-0.290243902,4.291341463,-4.979512195,-0.02097561,0.2082568,0.001817679,3.345948659
10.47,-0.070121951,-0.185365854,B,27,25,0,1.124146341,-0.150243902,3.641341463,-3.679512195,-0.01097561,0.2088111,0.002371979,2.774688659
10.45,-0.070121951,-0.205365854,B,27,26,0,1.164146341,-0.010243902,3.081341463,1.320487805,-0.01097561,0.209706,0.003266879,-0.542081341
10.52,-0.100121951,-0.135365854,B,27,27,0,1.234146341,0.189756098,4.361341463,3.440487805,-0.02097561,0.2106173,0.004178179,-5.135491341
10.45,-0.140121951,-0.205365854,B,27,28,0,1.324146341,0.419756098,3.921341463,1.600487805,-0.01097561,0.2114916,0.005052479,-8.016801341
10.41,-0.220121951,-0.245365854,B,27,30,0,1.334146341,0.569756098,3.861341463,-0.479512195,-0.01097561,0.2128596,0.006420479,-7.498721341
10.37,-0.230121951,-0.285365854,B,27,31,0,1.294146341,0.549756098,2.081341463,0.500487805,-0.01097561,0.2133244,0.006885279,-9.374161341
10.32,-0.230121951,-0.335365854,B,27,32,0,1.324146341,0.549756098,3.451341463,6.830487805,-0.01097561,0.2135372,0.007098079,-6.129941341
10.24,-0.270121951,-0.415365854,B,27,33,0,1.374146341,0.559756098,1.001341463,4.810487805,-0.01097561,0.2133941,0.006954979,-10.81145134
10.15,-0.330121951,-0.505365854,B,27,34,0,1.414146341,0.549756098,3.561341463,2.340487805,-0.01097561,0.2130918,0.006652679,-5.079821341
10.07,-0.320121951,-0.585365854,B,27,35,0,1.384146341,0.499756098,0.661341463,0.780487805,-0.01097561,0.2125483,0.006109179,-8.010161341
10.14,-0.310121951,-0.515365854,B,27,36,0,1.354146341,0.469756098,-0.538658537,1.030487805,-0.00097561,0.2118595,0.005420379,-3.825481341
10.2,-0.290121951,-0.455365854,B,27,37,0,1.304146341,0.419756098,-6.838658537,-1.379512195,-0.00097561,0.2110019,0.004562779,-0.478421341
10.18,-0.240121951,-0.475365854,B,27,38,0,1.224146341,0.339756098,4.051341463,-3.189512195,-0.00097561,0.209986,0.003546879,1.538008659
10.06,-0.220121951,-0.595365854,B,27,39,0,1.104146341,0.269756098,7.111341463,-1.089512195,-0.00097561,0.2089302,0.002491079,6.680458659
10.06,-0.160121951,-0.595365854,B,27,40,0,0.934146341,0.219756098,9.141341463,0.440487805,0.00902439,0.2078351,0.001395979,5.562828659
10.1,-0.160121951,-0.555365854,B,27,41,0,0.824146341,0.149756098,3.631341463,-0.049512195,0.00902439,0.2067142,0.000275079,8.303858659
10.32,-0.020121951,-0.335365854,B,27,42,0,0.564146341,-0.060243902,-0.428658537,-2.989512195,0.00902439,0.2056282,-0.000810921,2.043428659
10.59,0.089878049,-0.065365854,B,27,43,0,0.364146341,-0.240243902,-1.148658537,-2.589512195,0.00902439,0.2045452,-0.001893921,4.371058659
10.78,0.219878049,0.124634146,B,27,44,0,0.174146341,-0.310243902,-6.428658537,-4.919512195,0.00902439,0.2036192,-0.002819921,5.618278659
10.82,0.189878049,0.164634146,B,27,45,0,0.114146341,-0.210243902,-7.318658537,-5.469512195,0.00902439,0.202997,-0.003442121,3.717378659
10.86,0.239878049,0.204634146,B,27,46,0,0.094146341,-0.130243902,-9.378658537,-3.289512195,0.00902439,0.2027556,-0.003683521,8.829748659
10.86,0.269878049,0.204634146,B,27,47,0,0.064146341,-0.040243902,-3.028658537,-5.549512195,0.00902439,0.2028582,-0.003580921,5.498068659
10.87,0.309878049,0.214634146,B,27,48,0,0.064146341,0.079756098,-5.068658537,-4.789512195,0.00902439,0.2032476,-0.003191521,3.653898659
10.76,0.279878049,0.104634146,B,27,49,0,-0.005853659,0.129756098,-2.358658537,-7.569512195,0.00902439,0.2038589,-0.002580221,-1.698511341
10.71,0.209878049,0.054634146,B,27,50,0,-0.055853659,0.159756098,-8.678658537,3.290487805,0.00902439,0.2048325,-0.001606621,0.107508659
10.55,0.219878049,-0.105365854,B,27,51,0,-0.095853659,0.239756098,-4.248658537,4.660487805,0.00902439,0.2059533,-0.000485821,4.855298659
10.55,0.199878049,-0.105365854,B,27,52,0,-0.075853659,0.319756098,-1.478658537,6.360487805,0.00902439,0.2069926,0.000553479,1.275998659
10.58,0.219878049,-0.075365854,B,27,53,0,-0.125853659,0.329756098,-1.568658537,-4.689512195,0.01902439,0.2077546,0.001315479,-6.851861341
10.69,0.159878049,0.034634146,B,27,55,0,-0.295853659,0.229756098,-2.228658537,-1.129512195,0.01902439,0.20863,0.002190879,-9.491871341
10.55,0.179878049,-0.105365854,B,27,56,0,-0.345853659,0.249756098,-3.288658537,0.430487805,0.00902439,0.208681,0.002241879,-2.391041341
10.45,0.139878049,-0.205365854,B,27,57,0,-0.365853659,0.259756098,-3.588658537,0.810487805,0.00902439,0.2084111,0.001971979,-2.184501341
10.42,0.109878049,-0.235365854,B,27,58,0,-0.395853659,0.249756098,-4.408658537,-2.169512195,0.00902439,0.2078568,0.001417679,-4.191061341
10.47,0.019878049,-0.185365854,B,27,59,0,-0.395853659,0.219756098,1.711341463,-2.599512195,0.00902439,0.2072307,0.000791579,2.930488659
10.46,0.029878049,-0.195365854,B,27,61,0,-0.415853659,0.279756098,-0.098658537,-1.209512195,0.00902439,0.2055955,-0.000843621,-1.106281341
10.46,0.039878049,-0.195365854,B,27,62,0,-0.475853659,0.299756098,-4.858658537,-1.019512195,0.00902439,0.2045937,-0.001845421,5.804508659
10.37,0.039878049,-0.285365854,B,27,63,0,-0.555853659,0.309756098,-3.408658537,-3.089512195,0.01902439,0.2034908,-0.002948321,4.491428659
10.42,0.049878049,-0.235365854,B,27,64,0,-0.695853659,0.299756098,-4.028658537,-5.409512195,0.01902439,0.2022708,-0.004168321,12.38289866
10.47,0.029878049,-0.185365854,B,27,65,0,-0.795853659,0.309756098,-2.088658537,-2.809512195,0.01902439,0.2009886,-0.005450521,11.56004866
10.98,0.079878049,0.324634146,B,27,66,0,-1.035853659,0.099756098,-4.458658537,-0.999512195,0.01902439,0.1996265,-0.006812621,14.55797866
11.43,0.109878049,0.774634146,B,27,67,0,-1.235853659,-0.050243902,-3.558658537,1.800487805,0.01902439,0.198664,-0.007775121,4.254678659
11.87,0.209878049,1.214634146,B,27,68,0,-1.405853659,-0.160243902,-5.148658537,0.060487805,0.01902439,0.1979587,-0.008480421,-0.368851341
